Método,n_clusters,silhouette,calinski,davies,ARI,NMI
MiniBatchKMeans (PCA10),2,0.17003914713859558,2480.7412109375,2.255857184918372,5.9867171525908556e-05,1.578657976912396e-05
DBSCAN eps=3.949,1,,,,0.24644376336961551,0.156203131822383
SOM 10x10 -> KMeans2,2,0.37386947870254517,438.127197265625,3.927863715155819,0.012954629722062082,0.004221970018265517
